date,customer_id,product,price,quantity,coupon_code,shipping_city,country,total_price
2024-10-19,8be304df-4697-4f40-9f57-5d849fe3947c,Smartphone,699.99,3,,Calgary,Canada,2099.97
2025-01-04,124f4ee9-b31b-4c15-a22c-21fd2a263098,Monitor,249.99,2,20OFF,Ottawa,Canada,499.98
2024-08-18,fcaac143-fab7-494a-b400-cf3e2f6d6d07,Laptop,999.99,6,NO_CODE,Leeds,UK,5999.94
2025-01-03,bf0df2a4-d230-4113-8150-e0f6e8688588,Smartphone,699.99,8,,Manchester,UK,5599.92
2025-05-14,e5fd8e69-dfb9-4e37-a434-22369473cad9,Monitor,249.99,7,10OFF,New York,USA,1749.93
2024-05-31,a02a8319-5f2e-49b5-af19-5b79412a050b,Smartphone,699.99,3,NO_CODE,London,UK,2099.97
2025-02-22,7955d9b1-97c7-48c1-96e7-f12cd511f61f,Monitor,249.99,7,20OFF,Houston,USA,1749.93
2024-06-13,2f2f9dd4-3aa3-4fd0-ac57-e47578c66ef1,Smartphone,699.99,5,FREESHIP,Montreal,Canada,3499.95
2024-07-28,41c6b433-58f1-4cdf-9872-31bf8049e3a8,Headphones,149.99,5,NO_CODE,Houston,USA,749.95
2025-04-19,798de1c5-1027-46fa-9c35-c3718a8810f1,Smartphone,699.99,4,,London,UK,2799.96
2024-06-15,f039e230-dd9a-4cb0-b614-5fe095059a55,Keyboard,89.99,1,10OFF,Los Angeles,USA,89.99
2024-12-27,915fdcb0-645e-475f-bbb3-4fa1425a46ad,Laptop,999.99,9,NO_CODE,Glasgow,UK,8999.91
2024-10-01,47275290-b337-4dca-a8a7-0acf6269236a,Laptop,999.99,8,FREESHIP,Montreal,Canada,7999.92
2025-03-01,0d22ce65-a96a-4903-84b1-fe82f54ee343,Keyboard,89.99,7,10OFF,London,UK,629.93
2025-01-07,3870aecd-0fa0-406c-9639-0a104b00640c,Laptop,999.99,10,20OFF,Houston,USA,9999.9
2024-09-13,4ec1791f-d021-45e3-ab10-72b2bab94433,Monitor,249.99,4,NO_CODE,Ottawa,Canada,999.96
2024-10-03,5b211de6-28f8-447d-a167-0d2441d09d32,Headphones,149.99,6,10OFF,Houston,USA,899.94
2024-07-30,956c0f47-3539-45c7-ae1f-b9b3e472eb33,Smartphone,699.99,1,20OFF,New York,USA,699.99
2024-06-01,eccac9fa-3bf6-48b8-aff2-b73bbf46b307,Smartphone,699.99,3,FREESHIP,New York,USA,2099.97
2024-08-07,9ff80ba1-ebe6-483a-bd7f-888b0a38f6d7,Smartphone,699.99,1,,Glasgow,UK,699.99
2025-04-21,4f239858-8316-4c9f-8718-62cc20396dc4,Headphones,149.99,6,,Manchester,UK,899.94
2025-03-05,a0f5d358-7faf-4dda-a505-59c6beec9533,Smartphone,699.99,8,FREESHIP,Glasgow,UK,5599.92
2024-08-13,50ab7fbf-6486-49e7-b64b-46b82799ee27,Smartphone,699.99,10,NO_CODE,Vancouver,Canada,6999.9
2025-02-06,c5620864-f9a6-47b8-b1df-e4977dd541a5,Keyboard,89.99,3,FREESHIP,Houston,USA,269.97
2024-09-28,c87d9f6c-7808-4c68-b9c3-b7d954d70b25,Headphones,149.99,9,FREESHIP,Montreal,Canada,1349.91
2025-01-07,eb6e5a1d-7f9f-4407-bd9b-3f4887e57d7a,Laptop,999.99,7,20OFF,Los Angeles,USA,6999.93
2024-08-22,63121c0d-fe48-466b-8b50-49ae22790b73,Laptop,999.99,3,FREESHIP,Phoenix,USA,2999.97
2024-08-29,9674b021-cf1c-4bf9-b990-6dcab0522fb6,Headphones,149.99,5,,Manchester,UK,749.95
2025-03-11,05426605-d46a-41d1-b857-605e0429c512,Headphones,149.99,6,NO_CODE,Houston,USA,899.94
2024-11-19,0fc9ab23-152a-47fd-a229-db966e90ce67,Monitor,249.99,5,NO_CODE,Chicago,USA,1249.95
2024-07-15,549cc1a3-b3b4-4d23-98ba-d0f1cb0b7e52,Monitor,249.99,6,10OFF,Toronto,Canada,1499.94
2024-09-27,2410c38d-413a-4d7c-b647-9fd53bc86942,Headphones,149.99,9,,Manchester,UK,1349.91
2024-06-09,0b29f6f0-62fe-4eb3-b2ef-c6503172b577,Headphones,149.99,3,FREESHIP,New York,USA,449.97
2025-04-09,0cfd140a-a2e8-464c-845b-18665c4c7501,Keyboard,89.99,4,FREESHIP,Leeds,UK,359.96
2024-12-16,aa8662d5-5a75-475e-be2b-bf33cab61569,Keyboard,89.99,3,,Manchester,UK,269.97
2025-05-03,d6322086-73cc-4663-b7bc-4637095f120e,Laptop,999.99,3,FREESHIP,Birmingham,UK,2999.97
2024-05-31,acf07fd0-65a8-4b8e-9c3c-cada1e110ecc,Headphones,149.99,6,FREESHIP,Chicago,USA,899.94
2025-05-09,83c29254-0df5-4c9b-ab10-6878533d9262,Smartphone,699.99,8,FREESHIP,New York,USA,5599.92
2024-10-09,4c456b67-8239-43e2-9192-a15f2b60d573,Laptop,999.99,2,20OFF,Ottawa,Canada,1999.98
2025-03-29,7bd20634-e446-4bfe-8548-7cf5d39ec287,Smartphone,699.99,7,FREESHIP,New York,USA,4899.93
2024-06-06,7322c34e-f1f2-4b5d-8cf0-2603cc7aaa6f,Monitor,249.99,5,NO_CODE,Leeds,UK,1249.95
2024-09-18,32973256-659d-49aa-9e62-befab904f712,Headphones,149.99,1,10OFF,Chicago,USA,149.99
2024-11-10,4a5b4f97-eb43-4ab7-b3c9-f9aa5e84815f,Monitor,249.99,8,NO_CODE,London,UK,1999.92
2024-11-04,40ba2cf7-2211-40ae-bcd0-f417ca591567,Laptop,999.99,1,20OFF,Leeds,UK,999.99
2024-08-22,649efb76-3324-4d35-95b8-b3cf3b366304,Keyboard,89.99,5,10OFF,Manchester,UK,449.95
2024-08-26,1e0bd93b-a053-4b1d-b4d0-229271b10111,Laptop,999.99,7,FREESHIP,Phoenix,USA,6999.93
2024-09-30,1827f019-a9b8-4886-8484-a09b740943a3,Laptop,999.99,3,10OFF,Houston,USA,2999.97
2025-04-17,11d03775-2765-4591-b7d7-54cd5b5e5a1d,Keyboard,89.99,4,,Montreal,Canada,359.96
2024-06-12,5e4c64ed-a87a-4c44-8b27-e96a5e407129,Smartphone,699.99,2,10OFF,London,UK,1399.98
2024-11-13,4b24690c-c49b-416b-ae66-d572479ab1cf,Monitor,249.99,9,FREESHIP,Los Angeles,USA,2249.91
2025-01-14,d262e278-9b38-46d4-978e-618027954b11,Keyboard,89.99,4,NO_CODE,Phoenix,USA,359.96
2024-05-30,bd1110b8-2a4f-41b2-b80f-f5ef8f1ebf5f,Laptop,999.99,5,FREESHIP,Houston,USA,4999.95
2025-04-30,e10b40a0-66d5-47f7-a39d-3449abc85e66,Headphones,149.99,2,FREESHIP,Manchester,UK,299.98
2025-04-02,df573238-3289-4ed5-a33b-61b926354de1,Keyboard,89.99,10,,Houston,USA,899.9
2025-04-18,65cbe640-f3c5-4e58-84ff-cf3059d52f8b,Keyboard,89.99,10,,Glasgow,UK,899.9
2025-05-07,4ee9290c-7f70-4e1a-9d5a-8d68bb07277c,Laptop,999.99,4,NO_CODE,Chicago,USA,3999.96
2025-01-29,46c40547-def9-4015-aff4-5a51848dafe2,Headphones,149.99,2,20OFF,Phoenix,USA,299.98
2025-01-21,a34645d1-2fdb-4636-99b9-252d0ecf4f04,Keyboard,89.99,1,,Leeds,UK,89.99
2024-10-07,9b97c0d1-0b74-448c-b294-be4fa9739548,Laptop,999.99,7,20OFF,Houston,USA,6999.93
2025-04-06,bcf45576-a6a6-4795-8e8f-eec604dda92d,Laptop,999.99,4,,Houston,USA,3999.96
2024-08-06,87257f0d-1c60-4600-b312-1f76f9713b86,Monitor,249.99,3,NO_CODE,Vancouver,Canada,749.97
2024-09-02,39a05308-8b21-4dfa-9bc5-2ebf14bc7440,Headphones,149.99,4,,Calgary,Canada,599.96
2024-11-10,91283bb7-d1a5-489b-b8cc-f87bd0748088,Headphones,149.99,1,NO_CODE,New York,USA,149.99
2024-10-16,5e634dd1-4e7f-4ddf-83f3-0954e391806a,Keyboard,89.99,10,10OFF,Glasgow,UK,899.9
2025-02-13,7ec7ebee-92c1-425c-8ae9-686eb3ab7845,Laptop,999.99,3,FREESHIP,Los Angeles,USA,2999.97
2024-06-25,41c4f884-7a4f-47f8-8cb4-b0344e86b4bf,Laptop,999.99,2,FREESHIP,London,UK,1999.98
2025-05-22,e946a3c9-e62b-4437-96c6-0947283a2952,Headphones,149.99,7,20OFF,Birmingham,UK,1049.93
2024-12-21,4415e1e1-eaa7-4914-97a1-9f4fc3fb911d,Monitor,249.99,7,20OFF,Vancouver,Canada,1749.93
2025-03-20,292eb225-9836-4478-9d61-0fb4ddf0d1e7,Monitor,249.99,10,20OFF,Toronto,Canada,2499.9
